,aggr_delta,aggr_ddelta,aggr_gamma,aggr_dgamma,aggr_vega,aggr_dvega,aggr_theta,aggr_dtheta,is_trading
CSCO,-3.455,-1751.390,0.341,1.247,0.098,39.179,-0.033,-13.223,True
CAT,-4.912,6.967,0.010,0.040,0.052,-4.316,-0.021,1.635,True
NKE,0.767,-2678.710,0.258,-0.582,0.411,64.092,-0.120,24.346,True
WMT,120.592,72.984,0.116,4.294,0.241,6.482,-0.046,-2.031,True
JPM,6.138,-1638.189,0.094,-1.263,0.334,-33.389,-0.054,5.446,True
GE,-23.554,1461.575,0.482,2.732,0.041,8.900,-0.012,-1.589,True
GM,0.265,-2489.214,0.267,0.555,0.097,48.716,-0.038,-19.073,True
JNJ,9.964,-2078.690,0.121,0.676,0.263,131.601,-0.073,-36.514,True
HD,4.367,-4632.342,0.040,6.715,0.272,-19.355,-0.102,3.243,True
AAPL,1.789,-28588.722,0.040,0.197,0.740,1479.783,-0.088,-176.951,True
PFE,20.074,0.048,0.541,1.248,0.087,-24.510,-0.019,4.443,True
SPY,-50.000,,0.000,0.000,0.000,0.000,0.000,0.000,True
AXP,71.211,-97.493,0.100,-4.920,0.296,-56.506,-0.046,10.672,True
GS,19.586,-443.510,0.068,-9.581,0.642,-22.958,-0.203,7.432,True
TRV,70.051,-89.855,0.080,-3.670,0.179,-17.935,-0.044,4.423,True
BA,29.729,-285.643,0.030,-4.267,0.769,-7.767,-0.317,0.804,True
